calltry,date,time,duration,lastprompt,UID,village,Treatment,month,date,year
1,8/24/2011,8/24/11 12:20,214,thankyou.wav,1006020,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:20,206,08-24-2011_105411.mp3,1006004,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:20,N/A,N/A,1006003,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:20,N/A,N/A,1006005,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:30,N/A,N/A,1006024,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:30,N/A,N/A,1006032,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:30,215,thankyou.wav,1006038,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:30,N/A,N/A,1006030,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:30,4,welcome.wav,1006023,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:30,215,thankyou.wav,1006031,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:30,N/A,N/A,1006026,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:30,N/A,N/A,1006037,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:30,214,thankyou.wav,1006027,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:31,215,thankyou.wav,1006036,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:40,N/A,N/A,1010012,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:40,N/A,N/A,1010005,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:40,215,thankyou.wav,1006040,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:41,215,thankyou.wav,1006041,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:41,215,thankyou.wav,1010007,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:41,215,thankyou.wav,1010001,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:41,215,thankyou.wav,1010010,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:41,214,thankyou.wav,1010009,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:41,215,thankyou.wav,1010002,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:41,215,thankyou.wav,1010011,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:41,215,thankyou.wav,1010011,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:50,N/A,N/A,1010015,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:50,N/A,N/A,1010021,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:50,N/A,N/A,1010013,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:51,215,thankyou.wav,1010031,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:51,215,thankyou.wav,1010026,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:51,148,08-24-2011_105411.mp3,1010023,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:51,206,thankyou.wav,1010033,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:51,39,08-24-2011_105411.mp3,1010016,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:51,6,"1314170454	9909554629	7930142000	1314170485	Prompt",1010020,HIRASAR,2,8,24,11
1,8/24/2011,8/24/11 12:51,214,thankyou.wav,1010018,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 12:51,214,thankyou.wav,1010018,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 13:00,32,08-24-2011_105411.mp3,1010038,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 13:00,15,08-24-2011_105411.mp3,1011004,KANDHASAR,1,8,24,11
